logOut_medianTime,logOut_meanTime,logOut_stdTime,apiRequest_medianTime,apiRequest_meanTime,apiRequest_stdTime,totalTime,mode,actions,logIn_threads,logOut_threads,apiRequest_threads,repeat,logIn_medianTime,logIn_meanTime,logIn_stdTime
40454.0,41756.2,10641.751681205706,11775.5,367611.2224489796,1102248.7090795597,228556863,free,10,49,1,49,1,20067.0,97979.18775510204,257807.41610282863
12867.5,266079.31224489794,830201.9270720131,16291.5,17657.6,9590.523113991228,149014612,free,10,49,49,1,1,20565.5,37671.78163265306,123474.77373242391
1708.0,190780.193877551,614531.1278476017,1092.0,101676.70408163265,441445.9692180125,143400401,free,10,1,49,49,2,7536.0,9652.1,7413.006294494982
20782.5,791889.8,2440168.6458273875,9762.0,472594.5306122449,1630886.4672358974,265081045,free,10,49,1,49,2,37566.5,52226.17755102041,115931.96631253655
8333.0,151222.62040816326,751460.3184723674,2976.5,5347.0,6453.93132559958,86331639,free,10,49,49,1,2,7289.0,24855.275510204083,143796.14303354855
1744.0,26863.248979591837,98885.77715790037,1975.5,15719.416326530612,82033.87953553366,21030992,free,10,1,49,49,3,11844.0,16548.6,10195.54094472459
28008.5,768113.3,2065701.4925944407,7171.5,230328.41020408162,1041400.9750187313,175071939,free,10,49,1,49,3,26997.0,111285.47959183673,359953.2888759627
14259.0,486868.1918367347,1238288.1791730772,7715.0,380807.3,889607.6904797292,268451821,free,10,49,49,1,3,18455.5,53221.089795918364,223080.0556823019
1566.0,181610.0448979592,754147.3309230619,1528.5,63584.07551020408,311169.7897962279,122552923,free,10,1,49,49,4,5984.0,240780.4,732732.6339298818
34217.0,34587.9,16232.968725884848,10424.0,961618.4020408164,2399671.4879984492,577766766,free,10,49,1,49,4,40890.0,216791.57142857142,591469.7191782048
16900.5,807344.9265306123,2137951.2558084135,6873.0,8631.1,4256.470458803476,429012289,free,10,49,49,1,4,24376.5,68014.21224489796,179370.25883480825
1495.5,561903.7591836734,1582060.0418335348,1335.0,201479.5918367347,904975.7238670188,376302220,free,10,1,49,49,5,11386.0,224437.8,667772.5783306769
14107.5,776954.7,1488202.3968010722,11243.5,559069.0326530612,1308737.1575144182,313635254,free,10,49,1,49,5,11623.0,65146.695918367346,169658.68325333364
8281.5,14588.026530612246,38624.461269474916,7090.5,10951.3,9292.31689862353,17562437,free,10,49,49,1,5,10333.0,21030.185714285715,54174.56598305285
1843.5,5493.312244897959,13958.583045733369,1251.5,3457.504081632653,19968.810760358512,4575301,free,10,1,49,49,6,18603.0,18940.1,8694.501205423523
15585.0,43765.7,82887.40227836529,11498.5,161084.3142857143,527508.7368721984,111473679,free,10,49,1,49,6,34605.0,65519.812244897956,186805.25749186694
9784.5,128601.22653061224,632350.1966736292,6402.5,65507.0,117450.05003830351,78355714,free,10,49,49,1,6,10258.0,29971.51632653061,99080.72277171776
1399.0,94470.52040816327,491544.60636480583,1534.5,131095.7693877551,526574.5503664507,110718273,free,10,1,49,49,7,17290.0,19079.1,7979.412724839675
33162.5,1299154.2,2984295.46197605,9307.0,480497.6775510204,1421910.1736655985,279509641,free,10,49,1,49,7,27382.0,63416.81020408163,164015.3879053581
17554.5,679465.6775510204,1725863.3492360073,16410.5,53790.6,99775.28128549676,370283532,free,10,49,49,1,7,18524.5,75117.23265306122,232094.38309504362
1424.0,57522.72448979592,216327.7814598417,426.5,4279.751020408164,41488.87579389635,30414836,free,10,1,49,49,8,10354.5,13162.3,6710.56030199168
15813.0,1354297.8,4231754.832651154,12220.0,856657.0775510204,2503764.6050406736,540706939,free,10,49,1,49,8,38396.0,219187.74081632652,541324.9927852312
12363.5,98016.6306122449,272787.7075884585,5974.0,150085.5,455797.492395045,64416528,free,10,49,49,1,8,17055.0,30382.702040816326,67037.91587317288
1679.5,19896.781632653063,94924.47068380461,1354.5,9970.959183673469,58683.27565594845,14736639,free,10,1,49,49,9,7598.5,10144.6,7288.652980260939
11639.5,16396.2,11077.782417473674,8854.0,466965.0795918367,1369422.1889054256,287443929,free,10,49,1,49,9,15035.0,119320.56734693877,308821.0162324764
8180.0,70558.84489795918,257150.6529892983,9810.5,133989.1,383170.4859460081,86960855,free,10,49,49,1,9,13766.0,104177.8163265306,309217.5192875834
3082.5,13261.922448979592,45242.975329714776,1754.0,10600.744897959185,180848.25046268298,12516976,lazy,10,1,49,49,0,9160.0,82426.9,231966.41692253164
12479.5,11634.5,7483.285155746921,6192.0,17047.638775510204,78649.51662014809,15607438,lazy,10,49,1,49,0,9165.5,14566.836734693878,30145.607553791247
6497.5,9979.248979591837,38459.88200251652,4904.0,10225.4,14048.906325167569,14764166,lazy,10,49,49,1,0,5903.0,19943.020408163266,79574.39968211195
3523.5,14656.338775510205,103687.57786213193,3538.5,40960.88775510204,221321.39292649037,27335935,lazy,10,1,49,49,1,3712.5,8349.4,8794.272974814663
18881.0,19263.2,6268.156273312486,10735.5,23975.31224489796,56763.111591855326,26430452,lazy,10,49,1,49,1,14068.5,29571.25918367347,90706.33365247995
8462.0,26228.151020408164,140384.58975771294,7522.5,7461.6,2692.7133444827646,29569031,lazy,10,49,49,1,1,11963.5,33964.53265306122,119181.57666613461
2274.0,3701.438775510204,5694.4905764863415,3284.0,5269.861224489796,15511.707459724745,4502109,lazy,10,1,49,49,2,8372.0,10617.2,4970.459956359952
36669.0,53447.0,41194.24239434978,8963.0,19770.402040816327,32589.274938701255,28139445,lazy,10,49,1,49,2,8265.5,36566.28163265306,115734.79273074142
7569.0,13203.808163265307,43702.89471308041,3546.5,11254.2,22787.432558807985,32920867,lazy,10,49,49,1,2,11532.0,53751.95714285714,163443.0727189878
5637.5,335211.34897959186,1014751.9646030659,2293.5,302936.0714285714,1088389.3618644094,312775070,lazy,10,1,49,49,3,5865.0,8283.4,4866.72304076938
16079.0,26137.8,25284.157331332117,9836.0,16789.602040816328,23115.660799093068,23888102,lazy,10,49,1,49,3,17047.0,31428.202040816326,88466.60416256075
7047.0,307165.47346938774,1153670.973054464,3200.0,89766.9,199200.5245488687,279117316,lazy,10,49,49,1,3,4497.5,260629.72448979592,1069875.855828725
2826.0,7546.104081632653,34942.53568494192,2730.5,9223.342857142858,37773.67249429607,8270296,lazy,10,1,49,49,4,2945.5,5326.7,4656.6697458830195
12196.0,12173.5,6094.776584183469,6054.5,16470.64285714286,58691.73420829632,13862965,lazy,10,49,1,49,4,5315.5,11572.683673469388,20137.11869339606
5813.5,18920.15918367347,115436.93990834134,3033.5,7112.8,12467.228862546444,13120715,lazy,10,49,49,1,4,3979.5,7711.651020408163,22108.471837844278
3210.5,3776.1102040816327,1985.108274902366,3678.0,9090.173469387755,101484.7722220313,6377692,lazy,10,1,49,49,5,5722.0,7321.3,3626.791941770149
20677.5,23293.0,13910.334024266514,9233.0,17389.86326530612,62885.99766997853,35582795,lazy,10,49,1,49,5,16314.0,54752.71836734694,198582.90952896225
8593.0,14652.516326530613,67483.05413042352,5560.5,6618.5,4324.670989412566,28167836,lazy,10,49,49,1,5,5907.0,42697.791836734694,174033.1257048107
2303.5,2985.589795918367,2727.273402833239,3787.5,14235.99387755102,100398.48210666869,8511539,lazy,10,1,49,49,6,6493.0,7296.3,4504.086614768119
19423.0,19313.3,8347.433005953919,13383.5,33192.73469387755,76516.53379444993,20958760,lazy,10,49,1,49,6,5544.0,9186.095918367348,16512.325235904915
8070.0,10365.273469387756,9161.430809497433,6154.5,7388.7,4119.486323155676,22061300,lazy,10,49,49,1,6,12160.0,34506.997959183675,97132.30956779217
4817.5,53275.19387755102,224436.04064880405,2676.5,48723.77755102041,220754.6497715234,50099314,lazy,10,1,49,49,7,7411.5,11981.8,13737.004386368635
5654.0,8213.8,7616.037928827123,7232.0,13201.371428571429,15054.74128187571,12455133,lazy,10,49,1,49,7,5995.5,12049.638775510204,35109.47661195428
8587.0,28209.067346938777,158488.2625804978,6454.5,7568.9,2660.1651765758206,120833080,lazy,10,49,49,1,7,9057.5,218234.58775510205,716784.9764402141
1786.0,8491.551020408164,44200.719690427984,3808.5,44297.04489795918,217479.9691656509,25936904,lazy,10,1,49,49,8,4953.5,7049.2,5053.310065909494
5387.0,6791.9,6256.389790535042,4795.5,14437.608163265306,120266.2216919565,19425339,lazy,10,49,1,49,8,8524.0,25067.3306122449,78689.47542696053
9099.5,14946.734693877552,34989.214282129826,3455.5,4973.6,4828.348445494703,48292440,lazy,10,49,49,1,8,8887.0,83507.76326530612,444573.80112761515
4127.0,69016.11836734693,326198.2950338146,1510.0,25736.88775510204,153335.0377210966,46508903,lazy,10,1,49,49,9,6502.0,7993.0,3356.5484917959666
12980.5,27886.4,47788.089258028864,5515.5,149212.95102040816,671346.0269521152,222682918,lazy,10,49,1,49,9,9876.5,304672.87346938776,967816.2075846499
8953.5,12464.408163265307,10958.328690540031,6219.0,10751.1,10942.352554790645,14057697,lazy,10,49,49,1,9,8238.0,16005.359183673469,27259.648265295258
3165.0,77328.72244897959,215688.91887779324,1732.5,14273.389795918367,64986.950747997056,44975470,optimistic,10,1,49,49,0,7807.0,9043.5,3103.751681433294
35363.0,33467.8,16327.205835659695,35570.0,74900.1836734694,231802.84100893774,75915025,optimistic,10,49,1,49,0,16927.0,79345.42244897959,245281.18602410943
